Español;Aymara
Creador;uñstayiri
Creador;inuqiri
Creador;chhijnuqiri
Crear;inuqaña
Crecer;aliña
crecer;jilaña
Crecer el alimento;k’asaña
crecer la planta;aliña
Creencia;iyaw
Creencia;Iyaw saña
Creer;iniña
Crepitar la leña por la acción del fuego;t’axaqiña
crepúsculo;chhapu chhapu
Crepúsculo;qhanjta
crepúsculo;sujsa
Crepúsculo matutino;urjta
Crespo;k’usu
Crespo;chhiri
Cresta;k’ak’ara
Cresta;k’ara
Cresta;K’ara k’ara
Creyente;iniñiri
Criada;supari
Criado;uywata
Criado;yana
Criador;uywiri
Criar;uywaña
Criar dos niños o niñas de padres distintos;uywthapiña
Criatura;Asu
Criba;Susuña
Criminal;jaqì
Criminal;Jaqi jiwayiri
Crin;t’asa
Cristal;Qhisphi
Cristalino;ch’uwa
Cristalino;k’ila
Criterio;Amuyu
Criticar;talapayaña
Criticar;k’umiña
Criticón;k’umisiri
Crucificar;liq’kataña
Crudo;ch’uqi
Cruel;Qhuru
Crueldad;qhurüña
Crujir;k’arakiña
cruz;chakana
Cruz del Sur;chakana
Cruzar;makataña
cráneo;p’iqi ch’akha
Cráneo;t’uxlu
Cría;qallu
Cría de oveja u otro animal hervívoro que se aleja de su madre y se acostumbra a su dueño;chita
Cría de pájaro que ya empieza a volar;irpa
Crótalo;saqapani
Crótalo;Saqapani katari
Cuaderno;Qillqañ panka
Cuaderno;qillqañ
Cuaderno de notas o apuntes;laphircha
Cuadrado;Pusi k’uchu
Cuadrado;pusi
Cuadro;Kajuna
Cuadrúpedo;Pusi kayuni
Cuadrúpedo;puruña
Cuajar;Thayt’ayaña
Cuajar;kuwajt’aña
Cuajo;kuwaja
Cualquier cosa hecha con gran primor o destreza;t’it’u
cualquier día antes de ayer;nayruru
Cualquier objeto de cerámica ya rajado;suxu
Cualquier olla u otra cerámica rajada;taxa
Cualquier personaje muy feo y que asusta;kukuli
Cualquiera;kawkirïpasa
Cuantioso;walja
Cuarenta;Pusi tunka
Cuarenta;pusi
cuarta o palmo;chhiya
Cuarto;Uta
Cuarto;pusïri
Cuatro;pusi
Cuatrocientos;pusi
Cubierta de paja o sarmientos y tierra que se pone sobre los muros de tapiales o de adobes para resguardar de la lluvia;kurawa
cubierta de paja que protege los muros de la lluvia;kurawa
Cubierta de un libro o cuaderno;janapa
Cubierto;imxatata
Cubierto con neblina;urpuntata
Cubrecama;janxata
Cubrir;janxataña
Cubrir a algo con tierra;allxataña
Cubrir algo con la tierra empujando como el tractor;qhuchxataña
Cubrirse con neblina la superficie de la tierra;urpuntaña
Cuchara;Qhuyal wislla
Cucharón;wislla
cucharón de madera;wislla
Cuchichear;Chhichhiña
Cuchichear;chhipchhiña
Cuchillo;tumi
cuello;kunka
Cuentista;jawariku
Cuento;siwa
Cuento;Siwa siwa
Cuento o relato de algún suceso;kuñtu
Cuerda;chinuña
Cuerda;qinta
Cuerda;phala
Cuerda atada a la pata de los toros aradores para controlar la dirección y la velocidad de la yunta;simpira
cuerda delgada para asegurar la pollera;t’isnu
Cuerda para subir haces de paja para el techado;suchi
Cuerdo;Chuymani
Cuerno;waxra
Cuero;lip’ichi
Cuerpo;janchi
cuerpo / piel;janchi
Cuesta;amsta
cueva;chinkana
cueva;putu
cueva;tiyi
Cueva;Tiji
Cuidar;Uñjaña
Culebra;katari
culebra;asiru
Cullaguada;kullawa
Culo;Ch’ina
Culpa;jucha
Culpable;juchani
Culpar;juchachaña
Cultivar;Yapuchaña
Cultura;kultura
Cumbre;qullu
cumbre;ch’utu
Cumbrera de palo de los techos;kani
Cumplir;phuqhaña
Cumpliré 25 años , ¿y tú cuantos años tienes?;maranitasa?
Cundir;aqantaña
Cuota;rama
Curable;qullkaya
Curandero;kallawaya
Curandero;qulliri
Curar;qullaña
Curar con mucha atención;qullt’aña
Curar de algún mal u otra causa empleando el sulfato de alúmina;milluchaña
curar o remediar;qullaña
Curar una herida del cuerpo por encima;qullxataña
Curioso;khurkhu
Curva;Muyt’a
Curva;q’iwt’a
Curvado;k’umu
Custodiar;Jark’aña
Cuy;k’uysu
Cuágulo de sangre;wila
Cuál;kawkïri
Cuándo;Kuna pacha
Cuándo;kuna
Cuánto;qawqha
Cuánto;qayqa
Cuídalo bien hermana;Wali sum uywat kullaka
Cuña;chillpa
Cuñada;khiyatu
Cuñada;ipalita
cuñado;masanu
Cuñar;Chillpaña
Cálido;junt’u
Cámbiense ya es hora, ya vamos a entrar a jugar;Turksusipxam pachaxiwa, niyaw anatiri
Cáncer;Wara wara jali
Cándido;qhana
Cándido;Qhana chuymani
Cántaro;yuru
Cántaro de cuello delgado;p’uykhulu
Cántaro de cuello estrecho y base ancha;p’uñu
Cántaro grande de barro de cuello corto;maxma
Cántaro pequeño;jumiwa
"Cántaro pequeño de cerámica que circula en las fiestas con chicha; se usa más en los valles";chukula
cántaro pequeño para transportar agua;yuru
Cárcel;wata
Cáscara;sillp’i
Célebre;Uñt’ata
Célibe;sapa
Césped;Ch’iji
Cínico;jan
Cínico;Jan p’inqani
Círculo;muyu
Cólera;Chillka
Cólera;tipusiña
Cólico;Suti purak usu
Cólico;suti
Cómo;kamisa
Cómo;kunjama
Cómo no, voy a venir;Kun janisti, jutäwa
Cóncavo;p’ujru
cóndor;kunturi
cóndor;mallku
Cúmulo;phina
Cúrame pues por favor Dr./Dra.;Qullt’itay amp suma qullir tata/mama
Cúspide;Ch’utu
Dadivoso;waxt’asiri
Dalia;Panti panqara
Dalia;panti
Dama;Mama
Dama principal de la danza la “llamerada”;mamala
Danza;thuqhuña
Danza;sikuri
Danza autóctona de la caza de vicuña;tharwila
Danza autóctona originaria de los andes;q’axilu
danza autóctona que rememora a los incas;inka
danza con coronas de plumas, chaleco, alas y polleras de tela blanca cubiertas con gasas de color, que se acompaña con flauta derecha;chatripuli
danza con penachos de pluma de suri, donde cada bailarín toca zampoña y tambor;ayarachi
danza cordillerana;q’axilu
Danza de la caza de las vicuñas en la época de cosecha;mukululu
danza de la precosecha, acompañada con “pinkillus” o “tarkas”;ch’uta
Danza de origen colonial;waka
Danza de pastores de llama;qarwani
danza jocosa que parodia a los movimientos y el vestuario de los viejos aristócratas, acompañada de un conjunto de flautas traversas;awki awki
danza que imita a los curanderos herbolarios;kallawaya
danza que imita a los habitantes de la selva,acompañada de flauta traversa y “wankara”;ch’unch’u
danza que imita a los negros esclavos, acompañada de músicos;murinu
danza que imita a los toreros coloniales;wakatinti
Danza que imita el caminar de los ancianos;awki
danza que imita la cacería, acompañada de flauta derecha;ch’uqila
Danza que se baila en tiempo de lluvia que coincide con la fiesta del carnaval;ch’uta
danza que se realiza durante los carnavales cargando los primeros frutos de la temporada alrededor de las chacras. Se acompaña del “pinkillu” o quena;chayawa
Danzante;Thuqhuri
Danzar;Thuqhuña
Danzar;chillchiña
dar;churaña
dar a luz;usuña
dar a luz;wawachaña
dar de comer las aves a sus crías;unkaña
Dar en el blanco;wakt’ayaña
dar fiado o prestar;mayt’aña
Dar un golpe con la mano por la espalda con fuerza;p’unkintaña
Dar una parte;waqichaña
Dar uno o dos extensiones de surco;sataqaña
Darse beso entre un hombre y una mujer;ch’umasiña
Darse cuenta;amuyasiña
Darse cuenta;amatatasiña
Darse modos para engañar;murjaña
Darse volteos una parsona en el suelo;mult’iña
Dato;Jikita
Dañar;pirtjayaña
Dañar;Ñanqhachaña
Dañarse;Usuchjasiña
Dañino;ñanqha
De ahí álzate;Ukhat irtasim
De aquí a cuatro días;nipüru
De balde;inaki
de compras;aliri
De ese tamaño;ukch’a
De franjas;wak’acha
De igual manera , tenso un hijo varón y dos hijas mujeres;Jisa, ukhamarakiw mä yuqalla pä imillampi
De la bandera su color también es;Wiphalan samiparakisa
De La Paz , ¿tú a que te dedicas?;La Pazan markatatwa, jumax kuna luriritasa?
De mi mamá su nombre es Juana;Mamajan sutipax Juanawa
De mi papá su nombre es Eloy;Tatajan sutipax Eloy satawa
De mucho valor;walurani
De nuevo;wasitata
De orejas paradas;k’uk’uli
De orejas paradas;k’uli
De poca visión;nayrawisa
De por sí;justupa
De prisa;jatama
De repente;mayaki
De una vez;mäpita
De una vez escriban;Mäki qillqapxam
De una vez invítame comida;Mäki manq’a wa xt’ita
De una vez trabajaremos;Mäki irnaqañani
Debajo;manqha
Debatir;juchikiña
Deber;Luraña
Deber;manüña
Debilitado;iwachu
Debilitarse;T’ukhartaña
Decadencia;aynacht’aña
Decadencia;aynacht’awi
Decaer;aynacht’aña
Decapitar;P’iqì apaqaña
Decaído;chanka
Decaído;aynacht’ata
Decese de la chicha avinagrada;qayra
Decidir;Ajlliña
Decir;saña
Decir algo de pasada al inicio o a medio camino;sawayaña
Declarar;Arsuña
Declive;parki
Decolorar;qaqaraña
Decolorarse la ropa por la demasiada exposición al sol;kanqiña
Decomisar;Aparaña
Decorar;k’achachaña
Decrecer;juk’araña
Decretar;kamachiña
Decrépito;Awkili
Dedicar;Chiqanchaña
dedo;luk’ana
Dedo del pie;kayu
dedos de la mano;ampara luk’ana
Deducir;Amuyaña
Defecar;yaq’aña
Defecar;jamaraña
Defecar;kakaña
Defectuoso;jan
Defectuoso;Jan wali
Defender;arxataña
Defendido;arxatata
Defensor;arxatiri
Deficiente;pisi
Deformar;Mayjt’ayaña
Deforme;Jan yäni
Deforme;jan
Defraudar;Lunthataña
Degollar;Khariña
Degustar;Malliña
Dehesa;anaqa
Deidad;jach’a
Deidad;Jach’a apu
deidad femenina maléfica que destruye cosechas, ganados e incluso vidas humanas;miqala
deidad femenina protectora del hogar;kunturmamani
Deidad maléfica en forma de mujer que destruye cosechas y ganados;miqala
deidad protectora que generalmente se presenta como una piedra grande;wak’a
Dejar;jaytaña
Dejar;Apamukuña
Dejar de llover;thaniña
Dejar de llover por un día o más;Phajsaña
Dejar en el suelo una bolsa;waynuqaña
Dejar la comida o pasto después de rosar con los labios u olfatear;musuraña
Delante;Nayräxa
Delatar;Arsuña
Delegar;Khithaña
Deleitar;kusisiyaña
Delgado;juch’usa
Deliberar;ulaqaña
Delicado;k’apha
Delicado;jan
Delicado;Jan ch’amani
Delicado;jallallankha
Delicioso;Wali suma
Delimitar;qurpjaña
Delincuente;Lunthata
Delinear;Uñtayaña
Delinquir;juchachasiña
Delirar;paqaqiña
Delirar una persona;paqaqiña
Delito;Jucha
Demacrarse;t’ukhartaña
Demandar;Mayiña
Demarcar;t’aqjaña
Demasiado;ancha
Demasiado;kuñtu
demasiado o mucho;alluxa
demasiado o mucho;ancha
demasiado o mucho;yampi
Demente;Luqhi
Demoler;k’upthapiña
Demonio;Supaya
Demorar;Qhipt’aña
Demostrar;uñacht’ayaña
Demostrar;uñanchaña
Demás;jila
Denominacion despectiva que se da a los criollos y mestizos;q’ara
Denominar;sutiyaña
Denominativo despectivo a personas altas y flacas;q’ara
Denostar;Tuqiña
Denso;phathu
Dentista;laka
Dentista;Lakat yatxatata
Dentista;lakat
Dentro;manqhi
dentro;manqha
Denunciar;ch’ataña
Deparar;Churaña
Depender;apnaqatäña
Depilar;jik’iraña
Deponer;Apaqaña
Deportar;anamukuña
Depositar;Uskuña
Depositar con cuidado y hacia adentro;ucht’aña
Depositar la semilla en el hoyo que se hace con el “wiri”;chukiña
Depravado;Ñanqha jaqi
Depreciar;Chanì iraqtayaña
Depredar;Tukjaña
Depresión;llakisiña
Deprimido;Llakita
Deprimir;Alt’ayaña
Depósito;uskuña
derecha;kupi
Derecho;Chiqapa
Derogar;T’unjaña
Derramar;waraña
Derramar;williña
Derramar cereales al piso;warnuqaña
Derramarse;warstaña
Derrame;warasiri
derrame de gotas de alcohol al suelo en honor de la pachamama;ch’alla
Derretir;chulluyaña
Derretir;umatatayaña
Derretirse;umatataña
Derribar;Tinkuyaña
Derribar;liwimukuña
Derrocar;Jaquqaña
Derrochar;Tukjaña
Derrumbar;luxiña
Derrumbar;allitataña
Derrumbarse;allthaptaña
Derrumbe;aysa
Desabrido;Ch’aphaqa
Desabrido;chuma
Desabrigado;sixti
Desabrigar;isirayaña
Desabrigar;Issuyaña
Desabrochar;t’irsuña
Desacertar;Jan chiqt’ayaña
Desacertar;jan
Desacostumbrado;Jan yatisita
Desacostumbrado;jan
Desacostumbrarse;armjaña
Desacreditado;unra
Desacreditado;Unra apaqata
Desafiar;yant’asiña
Desafilado;muthu
Desafilar;muthuchaña
Desafortunado;q’uya
Desagradable;Axtaña
Desagradecido;Jan yäqasiri
Desagradecido;jan
Desaguar;chhuxuraña
Desahogar;P’arxtayaña
Desalado;qhathami
Desalentar;Ch’amà laq’ayaña
Desalentar;q’aymachaña
Desaliento;Ch’ama laq’a
Desaliento;ch’ama
Desaliñado;q’añu
Desalmado;Jan chuymani
Desamarrar;Jararaña
Desamparar;Apamukuña
Desanimado;q’inasita
Desanudar;Chinuraña
Desanudar;chinù
Desaparecer;chhaqhaña
Desaprender;armt’aña
Desapretar;phisarayaña
Desarmar;jararaña
Desarmar;Aparaña
Desarrollar;qhananchsuña
Desarrollarse;Jilaña
Desarropar a un bebé que estaba envuelto con telas;k’iruraña
Desarticular;qhaqhsuña
Desaseado;Q’añu
Desasosegar;llakthapiyaña
Desastre;Chiji
desatar;jaraña
Desatar;Jararaña
Desatento;Jan yäqasiri
Desayuno;junt’uma
Desbaratar;t’unjaña
Desbordante;jilariri
Desbordar;jilaraña
Descabellado;Ina ipi
Descabellado;ina
Descabezar;P’iqì apaqaña
Descalzo;q’ara
Descalzo;Q’ara kayu
Descamación;t’illu
Descansar;samaraña
Descarado;Jan p’inqani
Descarado;p’inqawisa
Descargar;waruqaña
Descargar;khumuqaña
Descargar bulto sobre el piso o suelo;q’ipnuqaña
Descarriar;saramukuyaña
Descartar;apamukuña
Descascarar;Sillq’iña
Descendencia;tunu
Descender;Saraqaña
Descolgar;warkuqaña
Descolorido;q’axra
descolorido;qaqa
Descolorido;tunti
Descolorir;tuntiña
Descomponerse;Thujsantaña
Descomponerse;ñusantaña
Desconfiar;axsaraña
Descongelar;chullurayaña
Desconocer;Jan uñt’aña
Desconocer;jan
Desconocer a alguien;uñamukuña
Desconocido;Jan uñt’ata
Desconocido;jan
Desconsiderado;Jan khuyapayasiñani
Desconsiderado;jan
Descontar;Iraqaña
Descontento;Q’usu
Descoser;Jararaña
Describe lo que corre el agua;jala
Descuartizar;aqharaña
Descubrir;Katuña
Descubrir;janaraña
Descuento;iraqa
Descuidado;apuqu
Desde antes de ayer;Waruruta
Desde ayer;Wasuruta
Desde ayer en la noche;Wasur arumata
Desde ayer en la noche;Wasur a rumata
Desde ayer estoy enfermo, no me he sanado;Wasurut usutäta, janipuniw samarkituti
Desde ayer me duele la mano derecha Marianela;Wasuruta kupi ampara w usutu Marianela
Desde el principio de los tiempos inmemoriales;qalltatpacha
Desde esta mañana;Chharmanthita
Desde esta noche no más me ha dolido;Jichha aruma tak usutu
Desdentado;lakà
desdentado;jallmu
Desdicha;Llaki
Desdoblar;Iqatataña
Desdén;jisk’achaña
Desear;Munaña
Desecar;wañayaña
Desechable;Jaqtañ yä
Desechable;jaqtañ
Desechar;jaqtaña
Desecho;Thuñi t’arwa
Desecho;thuñi
Desempacar;llawuraña
Desempolvar;thalaraña
Desencajar;khakhsuña
Desenfrenarse;Wisyù katuña
Desenredar;Jararaña
Desenrollar;sinkharaña
Desenrollar;pawiraña
Desenroscar;Q’iwiraña
Desenroscar los pernos ajustados;q’iwsuña
Desenterrar;allsuña
Desenvainar;Ch’ilaraña
Desenvolver;khiwiraña
Desesperación;Llaki apaña
Desesperación;llaki
Desfallecer;jiwt’aña
Desfallecer;t’ukuña
Desfallecer;qanqaña
Desfavorable;Jan wali
Desfilar;Siqiki saraña
Desfilar;siqitiña
Desgajar;qhaqharaña
Desgajarse la piel cerca a las uñas de la mano;challwachaña
Desganado;ch’ama
Desganado;Ch’ama laq’a
Desgarrar;Ch’iyjaña
Desgracia;Chiji
Desgraciado;jaka
Desgranar;muchhaña
Desgrasar;khithuqaña
Desgreñado;Ch’aska
Desgreñar;sanuraña
Desgustar;jachjayaña
Deshabitado;wasara
Deshabitar;wasarachaña
Deshabituar;armayaña
Deshacer;T’unjaña
Deshacerse la papa u otro producto por su cocción en exceso;juchhartaña
Deshidratación;umat
Deshidratación;Umat pharjaña
Deshilar;sikhaña
Deshincar;Jik’suña
Deshinchar;Jintaña
Deshinchar;jintayaña
Deshincharse la herida;jintaraña
Deshojar;siq’iraña
Deshojar o romper papeles;phixiña
Deshonesto;Jan chuymani
Deshonor;P’inqachat uñjasiña
Deshuesar;Ch’akhà apsuña
Desidioso;Jayra
desierto;p’axra
Desierto;Wasara
Designar;Utt’ayaña
Desigual;ch’ulla
Desigualar;Ch’ulljtayaña
Desigualar una superficie;pillaña
Desilusión;amuyasxaña
Desinflado;chhusurata
Desinflamar;P’unkì jintayaña
Desinflar;chhusurayaña
Desinformación;Jan kuna yatiña
Desinformación;jan
Desinformar;K’arì apnaqaña
Desinterés;jan
Desistir;Jaytjaña
Desleal;chari
Desleal;Chari jaqi
Deslenguado;Jan walì arusiri
Deslindar;Qurpanchaña
Deslizable;jittiri
Deslizable;Jittiri uraqi
Deslizar;jithiña
Deslumbrante;surump’iyiri
Deslumbrar;surump’iña
desmalezar;quraña
desmalezar;jallmaña
Desmarañar;T’isaña
Desmayarse;qaqaña
Desmayo;samkaraña
Desmedidamente;jan
Desmedidamente;Jan tupuni
Desmembrar;kharinuqaña
Desmemoriado;armasiri
Desmentir;Qhananchaña
Desmenuzar;T’unjaña
Desmerecer;Jan yäqaña
Desmirriado;T’ukha
Desmochar;muruqaña
Desmontar;chaquña
Desmoralizado;aquya
Desmoronarse;allisiña
Desnivelado;Maysankaña
Desnudar;Issuyaña
Desnudar;isirayaña
Desnudarse;q’alalsusiña
Desnudarse;jinq’illsusiña
Desnudez;q’ala
Desnudo;q’alanchu
desnudo;q’alala
Desnutrición;tixirtaña
Desobedecer;Jan ist’asiña
Desobedecer;jan
Desobediente;Jan jinchuni
Desobediente;jan
Desocupado;jan
Desocupado;Jan lurañani
Desocupar;Ch’usachaña
Desollar;Khariña
Desordenado;apatatata
Desordenar;kitthapiña
Desordenar;apatataña
desorientación;payi
Desorientación;jan
Desorientarse;pawiña
Desovillar;juñichaña
Desoír;jan
Desoír;Jan ist’aña
Despachar;Apayaña
Despachar;Khitharpayaña
Despacio;k’achata
despacio;k’acha
despacio;jari
Desparramar;willjaña
Despavorido;amulliyata
Despedazar;Wikhanuqaña
Despedazar en piezas menudas ya sea la lana;t’isanuqaña
Despedida;kacharpaya
despedir;kacharpayaña
Despedir;khitharpayaña
Despegar;lip’iqayaña
Despeinado;ch’aska
Despejado;q’alaki
Despejar;q’arachsuña
Despejarse la lluvia;malaña
Despellejar;lluch’suña
Despensa;juskusi
Despensa;Manq’añ yänaka
Despepitar;chiraraña
Desperdiciar;pirtiyaña
Desperdicio;Puchu
Desperezarse;much’arasiña
Desperezarse;Much’arasiña
Despertar;uñatataña
Despertar;p’arxtaña
Despertar del sueño;wat’jtaña
despeñadero;jaqhi
Despiadado;jan
Despiadado;Jan chuymani
Despierto;Ch’ikhi
Despierto;uñanaqkiri
Despilfarrar;Qullqì tukjaña
Despistado;jan
Despistado;Jan kunankats amuyasiri
Desplazar;Unxtayaña
Desplumar;Lluch’suña
Despoblarse;Wasarachaña
Despojar;Aparaña
Despojarse;lluch’umukuña
Desportillar;Q’asaraña
Desposarse;Jaqichasiña
Despotricar;chuchaña
Despreciable;axtaña
Despreciar;jisk’achaña
Desprecio;qhisuña
Desprotegido;Wajcha
Despuntar;k’aphuqaña
Después;ukata
Después;qhipata
Desquitarse;kutsuyasiña
Destacar;Yäqaña
Destapar;Lluparaña
Destapar;jisqharaña
Destapar;imaraña
Destapar;qhuphiraña
Destejer;Jararaña
Destellar;k’ajaña
Destello;llijtaña
Desterrar;Alissuña
Desterronar;k’uphaña
Desterronar una parcela para sembrar;chapilliña
Destetar;T’aqaña
Desteñirse;kutiraña
Destilar;ch’umayaña
Destinar;Uñtayaña
Destorcer;kutirayaña
Destornillar;q’iwiraña
Destripar;jiphill
Destripar;Jiphill allsuña
Destripar;jiphillsuña
Destrocar;kutirayasiña
Destrozar;T’unjaña
Destrozar parte del surco con el pie o los bordes una pared;thulliraña
Destructor;tukjiri
Destruir;tukjaña
Desubicarse;Chhaqhaña
Desunir;Jaljtayaña
Desunir las puntadas de una tela;chhitharaña
Desusado;Jan apnaqata
Desusado;jan
Desvainar;ch’ilaña
Desvainar los granos como las habas u otros productos verdes;lip’aña
Desvalorar;jan
Desvalorar;Jan yäqaña
Desvanecerse;jaqutattaña
Desvariar;jayuliña
Desvelar;ikimachaña
Desvelarse;ikimachasiña
Desvendar;ch’uqaraña
Desventura;Chiji
Desvergonzado;Jan p’inqani
Desvestir a una persona;q’alalsuyaña
Desvestirse;issusiña
Desviar;chakaqaña
Desviar;Maysaru uñtayaña
Desviar;pallqaña
Desviar;maysaru
Desviar la vista;maystaña
Desviarse;saramukuña
Desyemar;alichaña
Desyerbar;thumiña
Desyerbar;quraña
Desyerbar los pastos con azadón;chhiphiña
Detención;katuntayasiña
Detener;katuntaña
Detener;sayt’ayaña
Detenerse;Sayt’aña
Deteriorar;tukusiyaña
Determinar;Amtaña
Detestable;Axtaña
Detestar;Uñisiña
Detonar;phallayaña
Detrás;qhipa
deuda;manu
Deudor;manuni
Devanar;Ch’ankhà khiwiña
Devolver;kutiyaña
Devolver el cambio de dinero;kutiqayaña
Devorar;uquntaña
Dia ordinario;inüru
Dia soleado;Phajsa
Diablo;supaya
Diadema;Sipi
Diadema de plata que los incas se ponían en la frente;kaniphu
Diadema de plumas;sipi
Diagnosticar;uñakipaña
Diagnóstico;uñakipawi
Diagonal;q’ichu
Diagrama;jamuk’a
Dialecto;mayja
Dialecto;aruqa
Dialogar;aruskipt’aña
Diario;sapüru
Diarrea;Kursiya
diarrea;kursu
diarrea;wich’u
Diarrea de los bebés;ayka
Dibujante;jamuqiri
Dibujar;jamuqaña
Dibujo;jamuqa
Diccionario;arupirwa
Diccionario bilingüe;paytani
Dicha;Kusisiña
Dicho;sawi
Dichoso;Kusisita
Diciembre;Jallu qallta
Diciembre;jallu
Dictaminar;arsuqaña
Diecinueve;tunka
Diecinueve;Tunka llatunkani
Dieciocho;Tunka kimsaqallquni
Diecisiete;Tunka paqallquni
diente;laka ch’akha
diente de león;qhanapaku
Diente que creció deforme y a un lado;turqu
Diez;Tunka waranqa
Diez;tunka
Diez mil;tunka
Diez veces;tunka
Difamar;k’arimukuña
Diferente;mayja
Diferir;Yaqhà amuyaña
Dificultad;ch’ama
Dificultad;Ch’ama tukuña
Difundir;yatiykipaña
Difunto;jiwata
difunto;amaya
Difícil;ch’ama
Diglosia;Pä aruchja
Dignidad;yäqaña
Digno;yäqaña
Dilatar;much’atataña
Diligente;qunchi
diligente o trabajador;q’apa
Dilucidar;qhananchaña
Diluir;Umatatayaña
Diminutas trenzas de cabellera que usan las mujeres callahuayas o las afroyungueñas;qallucha
Diminuto;sinti
Diminuto;Sinti jisk’a
dinero;qullqi
Dios;yusa
dios de la abundancia, pequeño y de amplia sonrisa, cargado de muchos objetos;iqiqu
Dios del rayo y los volcanes;Tunupa
Dios del trueno;chukilla
dios del trueno, que se manifiesta como estruendo, rayo y relámpago;illapu
Dios tutelar;apu
dios tutelar protector que adopta formas de cerro, río y lago;achachila
Dirección;Irpa uta
Dirección;irpa
Directo;Chiqapa
Director;irptiri
Director;Yatiñ uta irptiri
Director de escuela;yatiñ
Dirigente;irpiri
Dirigir;sarayaña
Dirigir;kunkachayaña
Discernir;Amuyt’aña
Disciplina;yatiqawi
Disciplina;Yatiqawi t’aqa
Discordia;Jan apasiña
Discordia;jan
Discreción;Amuyt’asis sarnaqaña
Discrepar;Jan kikpà amuyaña
Discriminación;Jisk’achaña
Discriminar;Yaqhachaña
Discriminar;Jisk’achaña
Disculpar;Pampachaña
Discurrir;Amuyt’aña
Discurso;arsuwi
Discutir;ch’axwaña
Discípulo;arkiri
Diseminar;phawaña
Disentir;Mayjà amuyaña
Diseñar;wakjayaña
disfonía;ch’aja
Disfrazar;Isthapiyaña
Disgusto;tuqtasiña
Disimular;Imt’aña
Dislocado;q’iwsuta
Dislocarse;q’iwsusiña
Disminuir;pisiraña
Disminuir;Apaqaña
Disminuir algo;apaqaña
Disminuir algún líquido en cantidad;juk’awraña
Disolver;chulluña
Disparar;Illapt’aña
Disparar la piedra o manzana con la honda;q’urawaña
Disparar un proyectil con un arma;illapaña
Disparatar;Ñaxu arù arsuña
Disparate;ñaxu
Disparate;Ñaxu aru
Disparate;ukja
Disparejo;Ch’ulla ch’ulla
Disparejo;ch’ulla
Dispersarse;aywjaña
Dispersarse las plumas de ave o cabellos con el viento;phuthumiña
Disperso;willitatata
Disperso;maya
Disponer;wakt’ayaña
Disponible;Ina
Disputa;ch’axwa
Disputar;waykasiña
Distanciar;jayachaña
Distante;jaya
Distinguir;Amuyaña
Distinto;Mayja
Distraído;Chuyma chhaqhata
Distraído;chuyma
distribución o reparto;laki
Distribuido;ch’iqita
Distribuir;lakinuqaña
Distribuir productos por igual;irjaña
Distrito;Yati suyu
Distrito;yati
Diversidad;kunaymana
Diversificar;kunaymanachaña
Diversión;anatt’aña
Diverso;Kunaymana
Divertir;K’uchirt’ayaña
Divertirse;samart’asiña
Divertirse o distraerse en algo para no oír o atender lo que otro dice;isuraña
Dividir;Jaljaña
Divieso;ampuqi
Divieso;Ch’upu
Divino;qullana
Divisar;Uñjaña
Divisar;uñatataña
División;jaljawi
Divisor;lakiri
Divorciado;jaljtata
Divorciarse;jaljtaña
Divulgar;ch’iqiyaña
Diáfano;Qhana
Diálogo;aruskipawi
Diéresis;pata
Doblar;q’iwjaña
Doblar;janthapiña
Doblar una hoja de papel hacia adentro;q’imphintaña
Doblaremos a la derecha;Kupir u kutt’añani/q’iwt’añani
Doblaremos a la izquierda;Ch’iqaru kutt’añani/q’iwt’añani
Doble;Phathu
Doble;Paya kuti
Doble;paya
Doce;Tunka payani
Doce;tunka
Docencia;yatichaña
Docente;Yatichiri
Doctor;arayu
Doctor;Qulliri
Dolencia;Usu
Doler;usuña
Doler el bazo por acumulación de gases por correr o reír demasiado;k’aphalljaña
Doler intensamente;t’ajiña
Doler la herida con ardor agudo;ch’isiña
Dolor;Usu
dolor punzante;t’iji
Dolores musculares después del trabajo intenso del día anterior;makhurka
Doloroso;sintkaya
Domar;axachaña
Domar a un animal salvaje;axachjaña
Domesticar;Axachaña
Domicilio;utjawi
Dominar;Apnaqaña
domingo;willküru
Doméstico;utankiri
Don;tata
Donar;Waxt’aña
Doncella;Q’axu tawaqu
Dondequiera;kawkinsa
Dorado;Quriru uñtata
Dorado;paru
Dorado;quriru
Dorar;qurinchaña
Dorarse los cereales con el fuego;paruraña
Dormilón;ikisku
Dormir;ikiña
Dormir por un momento corto;ikt’aña
Dormirse;ikjaña
Dormitar;ich’awáña
Dormitar;Ikì ch’awaña
Dorso de la mano;ampar
Dorso del pie;kayu
Dos;pä
Dos;paya
dos anaranjados, ocho blancos;Payax churiwa, kimsa qallqu x janq'uwa
Dos mil;pä
Dos millones;pä
Dos o varias cabezas de un cuerpo o tubérculo;tara
Dos perros y dos gatos, ¿Y tú tienes animales?;Pä anun umpi , pä phisi mpi, jumax uywanitati?
Dos puntos;pä
Doscientos;pä
Dosis;umañ
Dosmil;Pä waranqa
Dossier;Qillqat apthapita
Doña;Mama
Dramatizar;Kikpà yanaña
Dramatizar;kikpà
Droga;Pastill qulla
Droga;pastill
Duda;Pächasiña
Dudar;pächasiña
Dudar;pä
Dudoso;pawna
Dueño de casa;utani
Dulce;musq’a
Dulce;muxsa
Duplicar;payachaña
Duplicar hilo;paytaña
Duración;wiñayja
Duradero;Jan tukusiri
